Date,Close,High,Low,Open,Volume
2017-11-09,0.03,0.04,0.03,0.03,18716200
2017-11-10,0.03,0.03,0.03,0.03,6766780
2017-11-11,0.03,0.03,0.03,0.03,5532220
2017-11-12,0.02,0.03,0.02,0.03,7280250
2017-11-13,0.03,0.03,0.02,0.02,4419440
2017-11-14,0.03,0.03,0.03,0.03,3033290
2017-11-15,0.03,0.03,0.03,0.03,6858800
2017-11-16,0.03,0.03,0.03,0.03,4888130
2017-11-17,0.03,0.03,0.03,0.03,3578870
2017-11-18,0.03,0.03,0.02,0.03,2930550
2017-11-19,0.03,0.03,0.03,0.03,4725050
2017-11-20,0.03,0.03,0.03,0.03,16172400
2017-11-21,0.03,0.03,0.03,0.03,5836790
2017-11-22,0.03,0.03,0.03,0.03,4938480
2017-11-23,0.03,0.03,0.03,0.03,5132300
2017-11-24,0.03,0.03,0.03,0.03,5502350
2017-11-25,0.03,0.03,0.03,0.03,6156460
2017-11-26,0.04,0.04,0.03,0.03,30527100
2017-11-27,0.05,0.06,0.04,0.04,77777296
2017-11-28,0.12,0.13,0.05,0.05,240338000
2017-11-29,0.09,0.15,0.08,0.12,210624992
2017-11-30,0.12,0.13,0.09,0.09,124345000
2017-12-01,0.13,0.13,0.11,0.12,73657600
2017-12-02,0.13,0.14,0.13,0.13,56712600
2017-12-03,0.13,0.14,0.12,0.13,46458900
2017-12-04,0.14,0.15,0.13,0.13,76392704
2017-12-05,0.13,0.14,0.13,0.14,50381100
2017-12-06,0.12,0.13,0.11,0.13,75688800
2017-12-07,0.11,0.12,0.11,0.12,71024600
2017-12-08,0.12,0.12,0.1,0.11,70092400
2017-12-09,0.12,0.14,0.11,0.11,63308600
2017-12-10,0.11,0.12,0.1,0.12,46376600
2017-12-11,0.12,0.12,0.11,0.11,39513900
2017-12-12,0.13,0.14,0.11,0.12,60056800
2017-12-13,0.13,0.14,0.12,0.13,61575000
2017-12-14,0.24,0.24,0.13,0.13,309307008
2017-12-15,0.21,0.23,0.19,0.23,207311008
2017-12-16,0.4,0.45,0.2,0.21,581052032
2017-12-17,0.51,0.59,0.38,0.39,628142976
2017-12-18,0.52,0.53,0.47,0.51,253463008
2017-12-19,0.53,0.59,0.5,0.52,279631008
2017-12-20,0.49,0.53,0.44,0.53,182924000
2017-12-21,0.48,0.52,0.46,0.49,162926000
2017-12-22,0.41,0.48,0.29,0.48,150972992
2017-12-23,0.41,0.45,0.39,0.41,88865000
2017-12-24,0.39,0.42,0.35,0.42,67372304
2017-12-25,0.42,0.44,0.36,0.39,122194000
2017-12-26,0.43,0.43,0.41,0.41,94896000
2017-12-27,0.41,0.43,0.4,0.43,82067504
2017-12-28,0.41,0.42,0.37,0.41,82263800
2017-12-29,0.53,0.56,0.4,0.41,266403008
2017-12-30,0.64,0.78,0.47,0.53,645155968
2017-12-31,0.72,0.75,0.64,0.64,305947008
2018-01-01,0.73,0.73,0.67,0.72,150186000
2018-01-02,0.78,0.79,0.7,0.72,289712000
2018-01-03,1.08,1.09,0.78,0.78,657398016
2018-01-04,1.11,1.33,1.04,1.09,593430016
2018-01-05,1.0,1.25,0.9,1.17,508100000
2018-01-06,1.03,1.05,0.93,1.0,297615008
2018-01-07,1.01,1.04,0.99,1.02,226067008
2018-01-08,0.9,1.0,0.76,1.0,264460992
2018-01-09,0.81,0.92,0.8,0.9,209492000
2018-01-10,0.79,0.82,0.68,0.82,236472000
2018-01-11,0.69,0.79,0.57,0.79,229000992
2018-01-12,0.9,0.93,0.66,0.7,365795008
2018-01-13,0.88,0.97,0.84,0.92,313215008
2018-01-14,0.8,0.88,0.75,0.88,160712000
2018-01-15,0.78,0.88,0.78,0.8,972993024
2018-01-16,0.63,0.78,0.48,0.78,1632649984
2018-01-17,0.63,0.68,0.44,0.62,1713769984
2018-01-18,0.66,0.71,0.59,0.63,1285490048
2018-01-19,0.65,0.69,0.62,0.65,584574016
2018-01-20,0.71,0.73,0.65,0.66,738798976
2018-01-21,0.61,0.71,0.59,0.71,847731008
2018-01-22,0.57,0.63,0.52,0.61,522984000
2018-01-23,0.56,0.59,0.52,0.57,375958016
2018-01-24,0.62,0.64,0.54,0.56,689838016
2018-01-25,0.64,0.68,0.62,0.63,654814016
2018-01-26,0.62,0.65,0.57,0.63,810062016
2018-01-27,0.62,0.63,0.6,0.62,331308992
2018-01-28,0.67,0.68,0.62,0.62,325145984
2018-01-29,0.62,0.67,0.62,0.67,238318000
2018-01-30,0.53,0.62,0.52,0.62,359622016
2018-01-31,0.52,0.55,0.47,0.53,505904000
2018-02-01,0.42,0.54,0.41,0.52,595624000
2018-02-02,0.39,0.42,0.27,0.42,1438809984
2018-02-03,0.44,0.5,0.33,0.4,1404499968
2018-02-04,0.38,0.48,0.37,0.43,814753984
2018-02-05,0.33,0.4,0.32,0.39,658547968
2018-02-06,0.37,0.38,0.27,0.33,1338390016
2018-02-07,0.34,0.38,0.33,0.37,679744000
2018-02-08,0.36,0.37,0.34,0.34,346383008
2018-02-09,0.39,0.39,0.34,0.35,401271008
2018-02-10,0.41,0.46,0.39,0.39,951824000
2018-02-11,0.37,0.41,0.36,0.41,331944000
2018-02-12,0.38,0.39,0.37,0.37,243039008
2018-02-13,0.37,0.39,0.36,0.38,225695008
2018-02-14,0.4,0.4,0.37,0.37,299008992
2018-02-15,0.41,0.42,0.39,0.39,348342016
2018-02-16,0.4,0.41,0.39,0.41,192420000
2018-02-17,0.42,0.43,0.4,0.4,341415008
2018-02-18,0.39,0.42,0.38,0.42,251314000
2018-02-19,0.39,0.4,0.39,0.39,169966000
2018-02-20,0.38,0.4,0.38,0.39,281249984
2018-02-21,0.36,0.38,0.36,0.38,242378000
2018-02-22,0.34,0.37,0.33,0.36,208342000
2018-02-23,0.35,0.35,0.32,0.33,222508992
2018-02-24,0.32,0.35,0.32,0.34,133524000
2018-02-25,0.34,0.35,0.31,0.32,247808000
2018-02-26,0.34,0.35,0.32,0.35,201812992
2018-02-27,0.34,0.34,0.33,0.34,106757000
2018-02-28,0.31,0.34,0.31,0.33,114757000
2018-03-01,0.3,0.31,0.29,0.31,184691008
2018-03-02,0.29,0.31,0.29,0.3,107240000
2018-03-03,0.3,0.31,0.29,0.29,115320000
2018-03-04,0.3,0.3,0.29,0.3,94436000
2018-03-05,0.3,0.32,0.29,0.3,202675008
2018-03-06,0.29,0.3,0.28,0.3,110305000
2018-03-07,0.25,0.29,0.24,0.28,190792992
2018-03-08,0.22,0.25,0.22,0.25,167808992
2018-03-09,0.22,0.23,0.19,0.22,246848992
2018-03-10,0.21,0.23,0.21,0.23,129138000
2018-03-11,0.22,0.23,0.2,0.21,161362000
2018-03-12,0.22,0.24,0.22,0.22,184250000
2018-03-13,0.22,0.23,0.22,0.22,98868704
2018-03-14,0.2,0.23,0.2,0.22,144156000
2018-03-15,0.19,0.2,0.17,0.2,204232992
2018-03-16,0.18,0.19,0.18,0.19,97455296
2018-03-17,0.15,0.18,0.15,0.18,81096600
2018-03-18,0.16,0.16,0.13,0.15,189688992
2018-03-19,0.2,0.2,0.16,0.16,321964000
2018-03-20,0.2,0.21,0.18,0.19,249683008
2018-03-21,0.21,0.23,0.2,0.21,257686000
2018-03-22,0.2,0.22,0.19,0.22,201540000
2018-03-23,0.19,0.2,0.18,0.2,148850000
2018-03-24,0.19,0.2,0.18,0.19,132660000
2018-03-25,0.18,0.19,0.18,0.19,59349400
2018-03-26,0.17,0.19,0.16,0.18,117497000
2018-03-27,0.15,0.17,0.15,0.17,107510000
2018-03-28,0.16,0.17,0.15,0.16,60260800
2018-03-29,0.15,0.16,0.15,0.16,103465000
2018-03-30,0.15,0.15,0.14,0.15,119874000
2018-03-31,0.16,0.16,0.14,0.15,113124000
2018-04-01,0.15,0.16,0.14,0.16,100833000
2018-04-02,0.16,0.16,0.15,0.15,102697000
2018-04-03,0.17,0.17,0.16,0.16,155987008
2018-04-04,0.16,0.18,0.15,0.17,154800992
2018-04-05,0.15,0.16,0.14,0.16,113407000
2018-04-06,0.14,0.15,0.14,0.15,51827500
2018-04-07,0.15,0.15,0.14,0.14,48205400
2018-04-08,0.16,0.16,0.15,0.15,51093100
2018-04-09,0.15,0.17,0.15,0.16,93021904
2018-04-10,0.16,0.16,0.15,0.15,55981300
2018-04-11,0.17,0.17,0.15,0.16,91793296
2018-04-12,0.21,0.21,0.16,0.17,488007008
2018-04-13,0.2,0.22,0.2,0.21,230412992
2018-04-14,0.2,0.21,0.19,0.2,113212000
2018-04-15,0.22,0.22,0.2,0.2,169798000
2018-04-16,0.26,0.26,0.21,0.22,678780992
2018-04-17,0.24,0.27,0.24,0.26,520975008
2018-04-18,0.26,0.26,0.24,0.24,181118000
2018-04-19,0.27,0.27,0.26,0.27,240910000
2018-04-20,0.3,0.3,0.27,0.27,349348992
2018-04-21,0.29,0.31,0.27,0.3,294632992
2018-04-22,0.29,0.3,0.28,0.29,160968000
2018-04-23,0.29,0.29,0.28,0.29,127213000
2018-04-24,0.31,0.32,0.29,0.29,369016992
2018-04-25,0.27,0.31,0.27,0.31,351596000
2018-04-26,0.29,0.29,0.26,0.27,220715008
2018-04-27,0.29,0.31,0.29,0.29,197183008
2018-04-28,0.36,0.36,0.29,0.29,636742016
2018-04-29,0.37,0.39,0.35,0.36,671886976
2018-04-30,0.34,0.36,0.34,0.36,298712000
2018-05-01,0.36,0.36,0.32,0.34,365521984
2018-05-02,0.37,0.38,0.35,0.36,272855008
2018-05-03,0.37,0.39,0.37,0.37,300814016
2018-05-04,0.36,0.37,0.35,0.37,171266000
2018-05-05,0.37,0.37,0.36,0.36,139447008
2018-05-06,0.35,0.37,0.34,0.37,148186000
2018-05-07,0.34,0.35,0.32,0.35,171384992
2018-05-08,0.33,0.35,0.32,0.34,142455008
2018-05-09,0.32,0.33,0.3,0.33,178122000
2018-05-10,0.3,0.33,0.3,0.32,122958000
2018-05-11,0.26,0.3,0.25,0.3,348752000
2018-05-12,0.27,0.28,0.24,0.26,255480992
2018-05-13,0.29,0.29,0.26,0.27,179522000
2018-05-14,0.27,0.29,0.26,0.29,161643008
2018-05-15,0.26,0.28,0.26,0.27,97408800
2018-05-16,0.26,0.26,0.24,0.26,108749000
2018-05-17,0.24,0.26,0.24,0.26,83683800
2018-05-18,0.25,0.25,0.23,0.24,79212200
2018-05-19,0.24,0.25,0.24,0.25,57778000
2018-05-20,0.26,0.26,0.24,0.24,101310000
2018-05-21,0.25,0.26,0.25,0.26,85090304
2018-05-22,0.22,0.25,0.22,0.25,78363296
2018-05-23,0.2,0.23,0.2,0.22,124268000
2018-05-24,0.21,0.21,0.19,0.2,127678000
2018-05-25,0.2,0.21,0.2,0.21,83368000
2018-05-26,0.2,0.21,0.2,0.2,60616400
2018-05-27,0.19,0.2,0.19,0.2,58991000
2018-05-28,0.17,0.19,0.17,0.19,95106200
2018-05-29,0.2,0.21,0.17,0.18,185184000
2018-05-30,0.21,0.22,0.2,0.2,222612000
2018-05-31,0.23,0.23,0.21,0.21,202076000
2018-06-01,0.22,0.23,0.22,0.22,130538000
2018-06-02,0.23,0.23,0.22,0.22,116435000
2018-06-03,0.23,0.24,0.23,0.23,117208000
2018-06-04,0.21,0.23,0.21,0.23,115605000
2018-06-05,0.22,0.22,0.2,0.21,119846000
2018-06-06,0.22,0.22,0.21,0.22,84766304
2018-06-07,0.21,0.22,0.21,0.22,76949400
2018-06-08,0.21,0.21,0.2,0.21,68728600
2018-06-09,0.2,0.21,0.2,0.21,51481400
2018-06-10,0.18,0.2,0.17,0.2,137836000
2018-06-11,0.18,0.18,0.17,0.18,89350704
2018-06-12,0.17,0.18,0.16,0.18,82885904
2018-06-13,0.16,0.17,0.15,0.17,99731600
2018-06-14,0.17,0.18,0.16,0.16,199562000
2018-06-15,0.16,0.17,0.16,0.17,73950496
2018-06-16,0.16,0.16,0.16,0.16,42213400
2018-06-17,0.16,0.16,0.16,0.16,35748800
2018-06-18,0.16,0.17,0.16,0.16,55507800
2018-06-19,0.17,0.17,0.16,0.16,69854400
2018-06-20,0.16,0.17,0.16,0.17,83625600
2018-06-21,0.16,0.16,0.16,0.16,41237700
2018-06-22,0.14,0.16,0.14,0.16,79062000
2018-06-23,0.14,0.14,0.13,0.14,38721800
2018-06-24,0.13,0.14,0.12,0.14,73037504
2018-06-25,0.14,0.14,0.13,0.13,57752100
2018-06-26,0.13,0.14,0.13,0.14,32927500
2018-06-27,0.13,0.13,0.12,0.13,37072400
2018-06-28,0.12,0.13,0.12,0.13,42250100
2018-06-29,0.13,0.13,0.11,0.12,65802200
2018-06-30,0.14,0.14,0.13,0.13,104599000
2018-07-01,0.14,0.15,0.13,0.14,108733000
2018-07-02,0.16,0.16,0.14,0.14,161860000
2018-07-03,0.15,0.17,0.15,0.16,108280000
2018-07-04,0.15,0.16,0.15,0.15,86594896
2018-07-05,0.15,0.15,0.15,0.15,73881296
2018-07-06,0.15,0.15,0.14,0.15,69138800
2018-07-07,0.15,0.15,0.14,0.15,47965500
2018-07-08,0.15,0.15,0.14,0.15,48142400
2018-07-09,0.14,0.15,0.14,0.15,42768500
2018-07-10,0.13,0.14,0.13,0.14,62318800
2018-07-11,0.13,0.13,0.13,0.13,50179700
2018-07-12,0.13,0.13,0.12,0.13,37623900
2018-07-13,0.14,0.14,0.13,0.13,92778496
2018-07-14,0.14,0.14,0.13,0.14,55022100
2018-07-15,0.14,0.15,0.14,0.14,50143900
2018-07-16,0.16,0.16,0.14,0.14,90578096
2018-07-17,0.17,0.17,0.15,0.15,133441000
2018-07-18,0.18,0.19,0.17,0.17,323366016
2018-07-19,0.18,0.19,0.17,0.18,216980992
2018-07-20,0.16,0.18,0.16,0.18,215667008
2018-07-21,0.16,0.17,0.16,0.16,125996000
2018-07-22,0.17,0.18,0.16,0.16,139332992
2018-07-23,0.16,0.18,0.16,0.17,147071008
2018-07-24,0.17,0.18,0.16,0.16,191390000
2018-07-25,0.17,0.18,0.17,0.17,123649000
2018-07-26,0.16,0.17,0.16,0.17,84282200
2018-07-27,0.17,0.17,0.16,0.16,103693000
2018-07-28,0.16,0.17,0.16,0.17,51592200
2018-07-29,0.16,0.16,0.16,0.16,47319500
2018-07-30,0.15,0.16,0.15,0.16,69612600
2018-07-31,0.14,0.15,0.14,0.15,93183800
2018-08-01,0.14,0.15,0.14,0.14,79987900
2018-08-02,0.13,0.14,0.13,0.14,68531400
2018-08-03,0.13,0.13,0.12,0.13,77768900
2018-08-04,0.13,0.13,0.13,0.13,54577300
2018-08-05,0.13,0.13,0.13,0.13,43901500
2018-08-06,0.13,0.14,0.13,0.13,57534800
2018-08-07,0.13,0.13,0.12,0.13,57321700
2018-08-08,0.11,0.13,0.11,0.13,82209700
2018-08-09,0.12,0.13,0.11,0.11,93016600
2018-08-10,0.12,0.12,0.11,0.12,71125700
2018-08-11,0.11,0.12,0.11,0.12,65816400
2018-08-12,0.11,0.11,0.11,0.11,35031500
2018-08-13,0.1,0.12,0.1,0.11,56974900
2018-08-14,0.09,0.1,0.09,0.1,111693000
2018-08-15,0.1,0.1,0.09,0.1,91346700
2018-08-16,0.1,0.1,0.09,0.1,50188900
2018-08-17,0.11,0.11,0.1,0.1,103569000
2018-08-18,0.1,0.11,0.1,0.11,101454000
2018-08-19,0.1,0.1,0.1,0.1,51106900
2018-08-20,0.09,0.1,0.09,0.1,53939600
2018-08-21,0.1,0.1,0.09,0.09,49545100
2018-08-22,0.09,0.1,0.09,0.1,64566000
2018-08-23,0.09,0.09,0.09,0.09,37397400
2018-08-24,0.09,0.09,0.09,0.09,35302400
2018-08-25,0.09,0.1,0.09,0.09,30674700
2018-08-26,0.09,0.09,0.09,0.09,26907400
2018-08-27,0.1,0.1,0.09,0.09,55515600
2018-08-28,0.11,0.11,0.1,0.1,79059500
2018-08-29,0.11,0.11,0.1,0.11,83582300
2018-08-30,0.1,0.11,0.1,0.11,64807500
2018-08-31,0.1,0.1,0.1,0.1,42250400
2018-09-01,0.11,0.11,0.1,0.1,70208900
2018-09-02,0.1,0.11,0.1,0.11,58391900
2018-09-03,0.1,0.11,0.1,0.1,53687200
2018-09-04,0.11,0.11,0.1,0.1,54317400
2018-09-05,0.09,0.11,0.09,0.11,98708900
2018-09-06,0.09,0.09,0.08,0.09,73239200
