Date,Close,High,Low,Open,Volume
2020-07-13,4.9,4.92,4.48,4.61,28340
2020-07-14,4.99,5.23,4.76,4.91,3957
2020-09-22,5.23,11.46,4.13,4.99,288098840
2020-09-23,4.12,5.33,3.98,5.32,173091214
2020-09-24,4.57,4.75,3.54,3.82,96110964
2020-09-25,4.71,4.96,4.24,4.61,55854397
2020-09-26,4.54,4.82,4.38,4.71,27304546
2020-09-27,4.63,4.7,4.14,4.54,23243192
2020-09-28,4.2,4.64,4.2,4.64,20624310
2020-09-29,4.14,4.28,3.97,4.21,16706917
2020-09-30,4.32,4.39,4.02,4.14,16932876
2020-10-01,4.15,4.49,4.06,4.32,23903201
2020-10-02,3.93,4.21,3.69,4.15,30467406
2020-10-03,4.02,4.17,3.88,3.93,11967394
2020-10-04,3.96,4.07,3.86,4.02,12949575
2020-10-05,3.98,4.04,3.89,3.96,8980051
2020-10-06,3.54,3.98,3.52,3.98,15048998
2020-10-07,3.45,3.54,3.23,3.54,15674566
2020-10-08,3.9,3.93,3.34,3.45,15215458
2020-10-09,4.24,4.28,3.82,3.91,13043373
2020-10-10,4.03,4.25,4.02,4.24,14539711
2020-10-11,4.1,4.16,3.97,4.02,11454885
2020-10-12,4.42,4.69,4.05,4.09,14445437
2020-10-13,4.49,4.54,4.33,4.41,14050398
2020-10-14,4.15,4.49,4.02,4.48,10004481
2020-10-15,4.13,4.21,4.02,4.15,6998970
2020-10-16,4.04,4.16,3.89,4.13,9790610
2020-10-17,4.2,4.2,3.98,4.04,6113717
2020-10-18,4.12,4.25,4.08,4.19,3717531
2020-10-19,4.05,4.16,4.0,4.12,5848392
2020-10-20,3.8,4.08,3.71,4.05,19646467
2020-10-21,3.97,4.11,3.79,3.8,23475819
2020-10-22,4.31,4.5,3.96,3.97,24178361
2020-10-23,4.26,4.49,4.15,4.33,19482074
2020-10-24,4.19,4.35,4.16,4.26,16681037
2020-10-25,4.15,4.26,4.11,4.19,15517939
2020-10-26,4.16,4.48,4.05,4.15,9243755
2020-10-27,4.12,4.35,4.04,4.16,17600881
2020-10-28,4.07,4.18,3.94,4.12,19435211
2020-10-29,3.78,4.11,3.73,4.07,6527859
2020-10-30,3.71,3.82,3.58,3.78,28434550
2020-10-31,3.65,3.74,3.59,3.71,20452535
2020-11-01,3.68,3.72,3.56,3.65,15953277
2020-11-02,3.62,3.85,3.61,3.68,20039697
2020-11-03,3.33,3.66,3.24,3.62,24573095
2020-11-04,3.18,3.38,3.0,3.33,20709819
2020-11-05,3.36,3.38,3.02,3.18,26135754
2020-11-06,3.6,3.65,3.32,3.36,33947029
2020-11-07,3.4,3.91,3.38,3.6,34653203
2020-11-08,3.48,3.65,3.37,3.4,26072941
2020-11-09,3.42,3.54,3.27,3.48,25509378
2020-11-10,3.59,3.64,3.37,3.42,24316551
2020-11-11,3.48,3.81,3.46,3.59,24727644
2020-11-12,3.43,3.56,3.32,3.48,25090677
2020-11-13,3.7,3.7,3.39,3.43,27584233
2020-11-14,3.5,3.7,3.4,3.7,24359587
