Date,Close,High,Low,Open,Volume
2017-11-09,1.99,2.17,1.89,2.05,19192200
2017-11-10,1.8,2.07,1.64,2.01,11155000
2017-11-11,1.67,1.92,1.61,1.79,8178150
2017-11-12,1.52,1.67,1.46,1.67,15298700
2017-11-13,1.69,1.74,1.52,1.53,12238800
2017-11-14,1.59,1.74,1.57,1.69,7829600
2017-11-15,1.53,1.62,1.5,1.59,7615500
2017-11-16,1.58,1.68,1.54,1.56,8928640
2017-11-17,1.51,1.58,1.5,1.58,8508840
2017-11-18,1.67,1.68,1.5,1.51,32167300
2017-11-19,1.61,1.7,1.57,1.67,38081700
2017-11-20,1.62,1.66,1.56,1.63,12994500
2017-11-21,1.57,1.66,1.55,1.66,5440790
2017-11-22,1.61,1.62,1.56,1.59,7177000
2017-11-23,1.55,1.62,1.54,1.61,8392640
2017-11-24,1.72,1.82,1.56,1.57,12155400
2017-11-25,1.87,1.96,1.69,1.72,12839900
2017-11-26,1.85,1.94,1.83,1.89,9056850
2017-11-27,1.94,1.95,1.79,1.87,22826600
2017-11-28,1.92,1.96,1.87,1.96,36377700
2017-11-29,1.75,2.05,1.68,1.92,43765500
2017-11-30,2.0,2.05,1.76,1.76,31559500
2017-12-01,2.07,2.14,1.92,2.0,28867200
2017-12-02,2.08,2.12,2.0,2.08,24332700
2017-12-03,2.23,2.38,2.05,2.09,35163500
2017-12-04,2.49,2.58,2.26,2.26,41226200
2017-12-05,2.6,2.73,2.5,2.5,49190000
2017-12-06,2.59,2.78,2.35,2.58,41731500
2017-12-07,2.78,2.91,2.49,2.55,28297900
2017-12-08,2.83,2.87,2.26,2.77,38648500
2017-12-09,2.61,2.87,2.33,2.83,27217000
2017-12-10,2.48,2.7,2.21,2.66,19258500
2017-12-11,2.71,2.82,2.5,2.51,19427000
2017-12-12,2.68,2.78,2.61,2.73,24523200
2017-12-13,2.78,2.88,2.57,2.69,28429500
2017-12-14,3.16,3.16,2.77,2.77,40335300
2017-12-15,4.0,4.41,3.14,3.16,52745900
2017-12-16,4.66,4.73,3.92,4.17,54002400
2017-12-17,5.76,6.75,4.67,4.67,98159600
2017-12-18,5.62,6.22,5.28,5.79,66623700
2017-12-19,5.79,6.55,5.58,5.65,66695200
2017-12-20,5.18,5.79,4.93,5.79,47866900
2017-12-21,5.18,5.7,4.81,5.18,46905500
2017-12-22,4.34,5.21,3.51,5.21,36672600
2017-12-23,4.84,5.13,4.31,4.39,32930300
2017-12-24,5.29,5.29,4.2,4.74,43676900
2017-12-25,6.56,6.96,5.25,5.31,66374400
2017-12-26,9.03,10.62,6.5,6.56,167812992
2017-12-27,10.11,11.3,8.49,9.25,167808000
2017-12-28,9.32,10.2,8.15,10.13,109298000
2017-12-29,8.81,9.53,8.54,9.32,70849400
2017-12-30,7.84,8.76,7.19,8.71,72933904
2017-12-31,8.64,8.84,7.71,7.76,74927904
2018-01-01,8.41,8.7,7.96,8.63,66422800
2018-01-02,8.84,9.12,8.22,8.46,104789000
2018-01-03,9.54,9.58,8.53,8.77,108852000
2018-01-04,9.21,9.54,8.85,9.45,158819008
2018-01-05,14.92,16.72,9.09,9.15,341504992
2018-01-06,22.76,23.51,14.82,14.87,637020992
2018-01-07,18.66,22.77,18.24,22.77,258050000
2018-01-08,18.26,19.22,15.35,18.65,296617984
2018-01-09,17.41,20.32,16.8,18.17,194750000
2018-01-10,17.39,17.71,15.17,17.71,146582000
2018-01-11,21.04,23.15,15.29,17.57,389228000
2018-01-12,22.32,24.91,19.93,21.48,387537984
2018-01-13,22.17,23.67,21.37,22.35,181676000
2018-01-14,20.78,22.25,19.14,22.25,129239000
2018-01-15,19.56,23.6,19.33,20.8,244154000
2018-01-16,13.89,19.63,10.44,19.63,399951008
2018-01-17,14.2,15.54,9.66,13.62,299411008
2018-01-18,14.28,15.96,13.51,14.25,204899008
2018-01-19,14.94,15.64,13.99,14.31,139882000
