Date,Close,High,Low,Open,Volume
2017-11-09,0.0,0.0,0.0,0.0,6259550
2017-11-10,0.0,0.0,0.0,0.0,4246520
2017-11-11,0.0,0.0,0.0,0.0,2231080
2017-11-12,0.0,0.0,0.0,0.0,3288960
2017-11-13,0.0,0.0,0.0,0.0,2481270
2017-11-14,0.0,0.0,0.0,0.0,2660340
2017-11-15,0.0,0.0,0.0,0.0,2840180
2017-11-16,0.0,0.0,0.0,0.0,3423010
2017-11-17,0.0,0.0,0.0,0.0,2787480
2017-11-18,0.0,0.0,0.0,0.0,1648260
2017-11-19,0.0,0.0,0.0,0.0,1431720
2017-11-20,0.0,0.0,0.0,0.0,2141360
2017-11-21,0.0,0.0,0.0,0.0,3047660
2017-11-22,0.0,0.0,0.0,0.0,18841700
2017-11-23,0.0,0.0,0.0,0.0,26126500
2017-11-24,0.0,0.0,0.0,0.0,9585960
2017-11-25,0.0,0.0,0.0,0.0,5430930
2017-11-26,0.0,0.0,0.0,0.0,7670430
2017-11-27,0.0,0.0,0.0,0.0,6185790
2017-11-28,0.0,0.0,0.0,0.0,8317540
2017-11-29,0.0,0.0,0.0,0.0,11077200
2017-11-30,0.0,0.0,0.0,0.0,4919490
2017-12-01,0.0,0.0,0.0,0.0,5258110
2017-12-02,0.0,0.0,0.0,0.0,4978180
2017-12-03,0.0,0.0,0.0,0.0,4751640
2017-12-04,0.0,0.0,0.0,0.0,6307150
2017-12-05,0.0,0.0,0.0,0.0,8772420
2017-12-06,0.0,0.0,0.0,0.0,9047960
2017-12-07,0.0,0.0,0.0,0.0,15759300
2017-12-08,0.0,0.0,0.0,0.0,11797600
2017-12-09,0.0,0.0,0.0,0.0,6564530
2017-12-10,0.0,0.0,0.0,0.0,5614920
2017-12-11,0.0,0.0,0.0,0.0,7017140
2017-12-12,0.0,0.0,0.0,0.0,19228600
2017-12-13,0.0,0.0,0.0,0.0,31150900
2017-12-14,0.0,0.0,0.0,0.0,23426200
2017-12-15,0.0,0.0,0.0,0.0,19043800
2017-12-16,0.01,0.01,0.0,0.0,136352992
2017-12-17,0.01,0.01,0.01,0.01,99417200
2017-12-18,0.01,0.01,0.01,0.01,44158800
2017-12-19,0.01,0.01,0.01,0.01,38885700
2017-12-20,0.01,0.01,0.0,0.01,67820000
2017-12-21,0.01,0.01,0.01,0.01,159154000
2017-12-22,0.01,0.01,0.0,0.01,63693900
2017-12-23,0.01,0.01,0.01,0.01,70143104
2017-12-24,0.01,0.01,0.01,0.01,143767008
2017-12-25,0.01,0.01,0.01,0.01,178008992
2017-12-26,0.01,0.01,0.01,0.01,124427000
2017-12-27,0.01,0.01,0.01,0.01,63625500
2017-12-28,0.01,0.01,0.01,0.01,51201500
2017-12-29,0.01,0.01,0.01,0.01,62474900
2017-12-30,0.01,0.01,0.01,0.01,56175300
2017-12-31,0.01,0.01,0.01,0.01,62256400
2018-01-01,0.01,0.01,0.01,0.01,50616900
2018-01-02,0.01,0.01,0.01,0.01,89424096
2018-01-03,0.01,0.01,0.01,0.01,66349900
2018-01-04,0.01,0.01,0.01,0.01,108986000
2018-01-05,0.01,0.01,0.01,0.01,212383008
2018-01-06,0.01,0.02,0.01,0.01,283716992
2018-01-07,0.02,0.02,0.01,0.01,288184000
2018-01-08,0.02,0.02,0.01,0.02,235114000
2018-01-09,0.01,0.02,0.01,0.02,115255000
2018-01-10,0.01,0.01,0.01,0.01,100243000
2018-01-11,0.01,0.01,0.01,0.01,62722000
2018-01-12,0.01,0.01,0.01,0.01,56971300
2018-01-13,0.01,0.01,0.01,0.01,55890600
2018-01-14,0.01,0.01,0.01,0.01,65899000
2018-01-15,0.01,0.01,0.01,0.01,62765500
2018-01-16,0.01,0.01,0.01,0.01,68099200
2018-01-17,0.01,0.01,0.01,0.01,58846200
2018-01-18,0.01,0.01,0.01,0.01,56599300
2018-01-19,0.01,0.01,0.01,0.01,30335700
2018-01-20,0.01,0.01,0.01,0.01,22974100
2018-01-21,0.01,0.01,0.01,0.01,22933100
2018-01-22,0.01,0.01,0.01,0.01,19968600
2018-01-23,0.01,0.01,0.01,0.01,17882700
2018-01-24,0.01,0.01,0.01,0.01,17449900
2018-01-25,0.01,0.01,0.01,0.01,21329400
2018-01-26,0.01,0.01,0.01,0.01,19572300
2018-01-27,0.01,0.01,0.01,0.01,11672900
2018-01-28,0.01,0.01,0.01,0.01,14070700
2018-01-29,0.01,0.01,0.01,0.01,13073100
2018-01-30,0.01,0.01,0.01,0.01,15855900
2018-01-31,0.01,0.01,0.01,0.01,14754700
2018-02-01,0.01,0.01,0.0,0.01,18748700
2018-02-02,0.0,0.01,0.0,0.01,29913700
2018-02-03,0.01,0.01,0.0,0.0,18018100
2018-02-04,0.0,0.01,0.0,0.01,12961600
2018-02-05,0.0,0.0,0.0,0.0,12489400
2018-02-06,0.0,0.0,0.0,0.0,19139100
2018-02-07,0.0,0.0,0.0,0.0,12990100
2018-02-08,0.0,0.0,0.0,0.0,9462680
2018-02-09,0.0,0.01,0.0,0.0,11190100
2018-02-10,0.0,0.01,0.0,0.0,16717300
2018-02-11,0.0,0.01,0.0,0.0,11309800
2018-02-12,0.01,0.01,0.0,0.0,11124300
2018-02-13,0.01,0.01,0.01,0.01,14149700
2018-02-14,0.01,0.01,0.01,0.01,40527400
2018-02-15,0.01,0.01,0.01,0.01,43275000
2018-02-16,0.01,0.01,0.01,0.01,26553900
2018-02-17,0.01,0.01,0.01,0.01,18333100
2018-02-18,0.01,0.01,0.01,0.01,15291500
2018-02-19,0.01,0.01,0.01,0.01,13019200
2018-02-20,0.01,0.01,0.01,0.01,107911000
2018-02-21,0.01,0.01,0.01,0.01,36813100
2018-02-22,0.01,0.01,0.01,0.01,20365500
2018-02-23,0.01,0.01,0.01,0.01,19390500
2018-02-24,0.01,0.01,0.01,0.01,15687300
2018-02-25,0.01,0.01,0.01,0.01,11758800
2018-02-26,0.01,0.01,0.01,0.01,12068600
2018-02-27,0.01,0.01,0.01,0.01,12201900
2018-02-28,0.01,0.01,0.01,0.01,13227600
2018-03-01,0.01,0.01,0.01,0.01,15518400
2018-03-02,0.01,0.01,0.01,0.01,22498100
2018-03-03,0.01,0.01,0.01,0.01,21545000
2018-03-04,0.01,0.01,0.01,0.01,12133500
2018-03-05,0.01,0.01,0.01,0.01,13627700
2018-03-06,0.0,0.01,0.0,0.01,14766900
2018-03-07,0.0,0.0,0.0,0.0,17585500
2018-03-08,0.0,0.0,0.0,0.0,15499400
2018-03-09,0.0,0.0,0.0,0.0,13624400
2018-03-10,0.0,0.0,0.0,0.0,9880540
2018-03-11,0.0,0.0,0.0,0.0,9251440
2018-03-12,0.0,0.0,0.0,0.0,7601500
2018-03-13,0.0,0.0,0.0,0.0,6006560
2018-03-14,0.0,0.0,0.0,0.0,7532350
2018-03-15,0.0,0.0,0.0,0.0,9316740
2018-03-16,0.0,0.0,0.0,0.0,6407110
2018-03-17,0.0,0.0,0.0,0.0,6231110
2018-03-18,0.0,0.0,0.0,0.0,9029610
2018-03-19,0.0,0.0,0.0,0.0,8278910
2018-03-20,0.0,0.0,0.0,0.0,6638060
2018-03-21,0.0,0.0,0.0,0.0,6711100
2018-03-22,0.0,0.0,0.0,0.0,5210480
2018-03-23,0.0,0.0,0.0,0.0,6178530
2018-03-24,0.0,0.0,0.0,0.0,4461220
2018-03-25,0.0,0.0,0.0,0.0,3476340
2018-03-26,0.0,0.0,0.0,0.0,6061990
2018-03-27,0.0,0.0,0.0,0.0,5235300
2018-03-28,0.0,0.0,0.0,0.0,4912220
2018-03-29,0.0,0.0,0.0,0.0,5630550
