Date,Close,High,Low,Open,Volume
2020-08-20,2.9,3.08,2.69,2.79,48819867
2020-08-21,2.88,3.09,2.73,2.9,49313137
2020-08-22,4.48,4.51,2.82,2.88,485801096
2020-08-23,3.97,4.49,3.72,4.49,320749483
2020-08-24,4.6,4.78,3.81,3.99,407690171
2020-08-25,5.52,5.76,4.5,4.58,898847538
2020-08-26,6.08,6.55,5.14,5.54,1054351759
2020-08-27,5.63,6.79,5.31,6.08,1289248953
2020-08-28,6.16,6.33,5.54,5.64,727162235
2020-08-29,6.16,6.56,6.04,6.18,527290028
2020-08-30,5.87,6.22,5.75,6.15,485335136
2020-08-31,6.3,6.46,5.77,5.91,512604781
2020-09-01,6.29,6.84,6.17,6.3,601527409
2020-09-02,6.14,6.43,5.66,6.28,584155028
2020-09-03,5.75,6.32,5.68,6.13,763663457
2020-09-04,5.15,5.98,4.63,5.73,845787793
2020-09-05,4.12,5.31,3.65,5.14,805800385
2020-09-06,4.8,4.9,3.76,4.14,924160482
2020-09-07,4.59,4.82,4.03,4.8,675375183
2020-09-08,4.27,4.62,4.12,4.59,519440288
2020-09-09,4.71,4.8,4.16,4.28,534097094
2020-09-10,4.58,4.87,4.47,4.71,633577674
2020-09-11,4.65,4.75,4.32,4.58,633472140
2020-09-12,5.14,5.28,4.52,4.65,753745737
2020-09-13,5.3,5.48,4.81,5.15,1099475714
2020-09-14,5.35,5.6,5.13,5.3,1008259712
2020-09-15,5.1,5.45,5.1,5.37,897864384
2020-09-16,5.08,5.28,4.99,5.07,792360521
2020-09-17,5.34,5.42,5.06,5.08,776350363
2020-09-18,5.25,5.46,5.11,5.34,683398180
2020-09-19,4.93,5.26,4.82,5.25,605268040
2020-09-20,4.67,4.97,4.42,4.93,798507891
2020-09-21,4.09,4.7,3.95,4.67,1096736657
2020-09-22,4.17,4.21,3.92,4.09,673117344
2020-09-23,4.03,4.32,3.97,4.17,557062766
2020-09-24,4.38,4.4,3.99,4.02,437573446
2020-09-25,4.42,4.53,4.26,4.38,425191119
2020-09-26,4.35,4.46,4.24,4.42,329745176
2020-09-27,4.31,4.36,4.16,4.34,316361927
2020-09-28,4.4,4.58,4.27,4.3,543507456
2020-09-29,4.5,4.6,4.36,4.42,508965929
2020-09-30,4.35,4.5,4.25,4.5,378446620
2020-10-01,4.34,4.58,4.26,4.35,445143708
2020-10-02,4.12,4.36,3.93,4.34,554916297
2020-10-03,4.07,4.13,4.04,4.13,361964763
2020-10-04,4.17,4.2,4.02,4.07,286356969
2020-10-05,4.17,4.23,4.12,4.18,332264664
2020-10-06,3.76,4.18,3.65,4.17,662270711
2020-10-07,3.86,3.88,3.62,3.75,629063456
2020-10-08,4.1,4.16,3.66,3.86,614223111
2020-10-09,4.26,4.35,4.02,4.11,491506582
2020-10-10,4.25,4.48,4.24,4.26,492038159
2020-10-11,4.26,4.33,4.18,4.26,388098955
2020-10-12,4.32,4.44,4.21,4.26,489608532
2020-10-13,4.25,4.34,4.16,4.32,420659947
2020-10-14,4.2,4.36,4.09,4.26,520198619
2020-10-15,4.1,4.19,4.03,4.19,450623089
2020-10-16,3.91,4.16,3.84,4.1,443295515
2020-10-17,3.97,3.98,3.87,3.92,206453738
2020-10-18,4.1,4.12,3.96,3.97,204108300
2020-10-19,3.99,4.11,3.96,4.11,249983725
2020-10-20,3.91,4.14,3.88,3.99,502694693
2020-10-21,4.14,4.25,3.91,3.91,458018407
2020-10-22,4.27,4.33,4.13,4.14,367309225
2020-10-23,4.27,4.47,4.2,4.27,461816708
2020-10-24,4.36,4.43,4.24,4.27,310306552
2020-10-25,4.34,4.45,4.27,4.36,339106539
2020-10-26,4.73,4.74,4.3,4.34,722990810
2020-10-27,4.68,4.93,4.66,4.73,820401909
2020-10-28,4.37,4.77,4.26,4.68,649971738
2020-10-29,4.05,4.4,3.88,4.37,686597329
2020-10-30,4.09,4.16,3.94,4.05,586577443
2020-10-31,4.18,4.27,4.07,4.09,318678917
2020-11-01,4.23,4.23,4.12,4.18,302861124
2020-11-02,4.03,4.26,3.99,4.23,503474044
2020-11-03,4.03,4.07,3.89,4.03,413471121
2020-11-04,4.1,4.15,3.89,4.03,836536272
2020-11-05,4.24,4.3,4.03,4.1,375265287
2020-11-06,4.58,4.63,4.21,4.24,463200956
2020-11-07,4.24,4.84,4.11,4.58,724809168
2020-11-08,4.37,4.43,4.14,4.24,393903990
2020-11-09,4.35,4.46,4.25,4.37,396903280
2020-11-10,4.42,4.5,4.31,4.35,379322634
2020-11-11,4.46,4.62,4.42,4.42,404513890
2020-11-12,4.4,4.47,4.32,4.46,367161907
2020-11-13,4.54,4.59,4.37,4.4,342519103
