Date,Close,High,Low,Open,Volume
2017-11-09,320.88,329.45,307.06,308.64,893249984
2017-11-10,299.25,324.72,294.54,320.67,885985984
2017-11-11,314.68,319.45,298.19,298.59,842300992
2017-11-12,307.91,319.15,298.51,314.69,1613479936
2017-11-13,316.72,328.42,307.02,307.02,1041889984
2017-11-14,337.63,340.18,316.76,316.76,1069680000
2017-11-15,333.36,340.91,329.81,337.96,722665984
2017-11-16,330.92,336.16,323.61,333.44,797254016
2017-11-17,332.39,334.96,327.52,330.17,621732992
2017-11-18,347.61,349.62,327.69,331.98,649638976
2017-11-19,354.39,371.29,344.74,347.4,1181529984
2017-11-20,366.73,372.14,353.29,354.09,807027008
2017-11-21,360.4,372.47,350.69,367.44,949912000
2017-11-22,380.65,381.42,360.15,360.31,800819008
2017-11-23,410.17,425.55,376.09,381.44,1845680000
2017-11-24,474.91,480.97,402.76,412.5,2292829952
2017-11-25,466.28,485.19,461.05,475.68,1422080000
2017-11-26,471.33,472.72,451.61,465.97,1197779968
2017-11-27,480.36,493.4,468.48,471.53,1396480000
2017-11-28,472.9,482.48,466.35,480.52,1346499968
2017-11-29,427.52,522.31,425.07,473.28,2675940096
2017-11-30,447.11,465.5,401.24,431.21,1903040000
2017-12-01,466.54,472.61,428.31,445.21,1247879936
2017-12-02,463.45,476.24,456.65,466.85,943649984
2017-12-03,465.85,482.81,451.85,463.7,990556992
2017-12-04,470.2,474.78,453.31,466.05,1005550016
2017-12-05,463.28,473.56,457.66,470.29,1216720000
2017-12-06,428.59,462.71,420.21,462.6,1998259968
2017-12-07,434.41,441.4,414.41,426.37,2129570048
2017-12-08,456.03,466.06,422.37,434.99,2336379904
2017-12-09,473.5,504.15,456.25,457.34,2003849984
2017-12-10,441.72,472.79,429.51,472.79,1404179968
2017-12-11,515.14,516.97,439.1,440.36,1771440000
2017-12-12,651.43,657.32,504.49,522.29,5179829760
2017-12-13,702.77,747.99,597.8,644.91,4524539904
2017-12-14,695.82,753.12,664.99,700.59,3821580032
2017-12-15,684.45,697.13,621.06,696.38,2758710016
2017-12-16,696.21,718.39,680.79,686.19,2165690112
2017-12-17,719.97,735.83,696.24,696.24,2147389952
2017-12-18,794.65,803.93,689.23,721.73,3249230080
2017-12-19,826.82,881.94,785.34,793.9,4096549888
2017-12-20,819.09,845.06,756.0,827.52,3969939968
2017-12-21,821.06,880.54,792.69,820.24,3569060096
2017-12-22,674.86,827.68,543.76,822.64,4977710080
2017-12-23,719.39,763.9,679.73,681.32,2480339968
2017-12-24,694.15,721.77,614.92,721.77,2300549888
2017-12-25,765.83,782.52,698.87,698.87,2491760128
2017-12-26,773.84,786.79,760.93,763.37,2201159936
2017-12-27,762.84,789.25,738.41,774.97,2100029952
2017-12-28,737.02,763.32,701.19,762.21,2389149952
2017-12-29,753.59,770.12,729.61,740.39,2648969984
2017-12-30,717.26,753.82,685.23,753.82,3187780096
2017-12-31,756.73,760.35,710.12,712.21,2554269952
2018-01-01,772.64,782.53,742.0,755.76,2595760128
2018-01-02,884.44,914.83,772.35,772.35,5783349760
2018-01-03,962.72,974.47,868.45,886.0,5093159936
2018-01-04,980.92,1045.08,946.09,961.71,6502859776
2018-01-05,997.72,1075.39,956.33,975.75,6683149824
2018-01-06,1041.68,1060.71,994.62,995.15,4662219776
2018-01-07,1153.17,1153.17,1043.01,1043.01,5569880064
2018-01-08,1148.53,1266.93,1016.05,1158.26,8450970112
