Date,Close,High,Low,Open,Volume
2020-04-10,0.95,1.31,0.69,0.83,87364276
2020-04-11,0.78,1.05,0.77,0.95,43862444
2020-04-12,0.88,0.96,0.76,0.79,38736897
2020-04-13,0.78,0.89,0.77,0.89,18211285
2020-04-14,0.66,0.8,0.63,0.78,16747614
2020-04-15,0.65,0.7,0.62,0.67,13075275
2020-04-16,0.69,0.77,0.63,0.63,21346031
2020-04-17,0.66,0.72,0.66,0.69,9870810
2020-04-18,0.68,0.72,0.66,0.66,9782112
2020-04-19,0.61,0.68,0.6,0.68,9289670
2020-04-20,0.54,0.64,0.52,0.61,8342616
2020-04-21,0.59,0.6,0.51,0.54,9711507
2020-04-22,0.69,0.71,0.57,0.58,18828400
2020-04-23,0.63,0.7,0.6,0.69,13485271
2020-04-24,0.63,0.67,0.61,0.62,9064190
2020-04-25,0.64,0.67,0.62,0.63,7311905
2020-04-26,0.64,0.69,0.63,0.65,8320760
2020-04-27,0.57,0.66,0.56,0.64,7406934
2020-04-28,0.66,0.69,0.57,0.58,7470201
2020-04-29,0.75,0.78,0.66,0.66,8801144
2020-04-30,0.69,0.8,0.69,0.75,5016892
2020-05-01,0.73,0.74,0.69,0.69,4164272
2020-05-02,0.72,0.75,0.71,0.73,3441356
2020-05-03,0.68,0.73,0.66,0.71,3328344
2020-05-04,0.67,0.71,0.62,0.68,3443698
2020-05-05,0.64,0.69,0.63,0.67,2847469
2020-05-06,0.62,0.67,0.62,0.64,2677563
2020-05-07,0.61,0.63,0.57,0.62,3355830
2020-05-08,0.6,0.64,0.59,0.61,2488195
2020-05-09,0.6,0.63,0.59,0.6,2128503
2020-05-10,0.54,0.61,0.51,0.6,2327581
2020-05-11,0.52,0.57,0.51,0.54,2098481
2020-05-12,0.54,0.56,0.51,0.51,2198625
2020-05-13,0.55,0.56,0.52,0.54,2326446
2020-05-14,0.57,0.58,0.55,0.55,2047897
2020-05-15,0.56,0.57,0.55,0.57,1850070
2020-05-16,0.6,0.61,0.55,0.56,2300409
2020-05-17,0.61,0.64,0.59,0.6,2936428
2020-05-18,0.65,0.67,0.61,0.61,3314359
2020-05-19,0.62,0.65,0.61,0.65,2380263
2020-05-20,0.58,0.63,0.58,0.62,2302926
2020-05-21,0.61,0.61,0.54,0.58,2863017
2020-05-22,0.64,0.68,0.58,0.61,3411419
2020-05-23,0.61,0.64,0.59,0.64,2638524
2020-05-24,0.55,0.61,0.55,0.61,2786816
2020-05-25,0.6,0.65,0.54,0.55,4509580
