Date,Close,High,Low,Open,Volume
2017-11-09,0.22,0.22,0.21,0.22,147916992
2017-11-10,0.21,0.22,0.21,0.22,141032992
2017-11-11,0.21,0.21,0.21,0.21,134503008
2017-11-12,0.2,0.21,0.2,0.21,251175008
2017-11-13,0.2,0.2,0.2,0.2,132567000
2017-11-14,0.21,0.21,0.2,0.2,127361000
2017-11-15,0.21,0.21,0.21,0.21,100294000
2017-11-16,0.23,0.27,0.21,0.21,1022579968
2017-11-17,0.23,0.24,0.22,0.22,397071008
2017-11-18,0.23,0.23,0.22,0.23,144298000
2017-11-19,0.23,0.24,0.23,0.23,193808000
2017-11-20,0.24,0.24,0.23,0.23,214663008
2017-11-21,0.23,0.24,0.23,0.24,217851008
2017-11-22,0.24,0.24,0.23,0.23,167078000
2017-11-23,0.24,0.25,0.24,0.24,240684992
2017-11-24,0.24,0.25,0.24,0.24,211486000
2017-11-25,0.25,0.26,0.24,0.24,212592992
2017-11-26,0.25,0.25,0.25,0.25,133297000
2017-11-27,0.25,0.25,0.25,0.25,196735008
2017-11-28,0.3,0.3,0.25,0.25,720742976
2017-11-29,0.24,0.3,0.24,0.3,541177984
2017-11-30,0.25,0.26,0.23,0.25,270907008
2017-12-01,0.26,0.26,0.24,0.25,182992000
2017-12-02,0.26,0.26,0.25,0.26,118250000
2017-12-03,0.25,0.26,0.25,0.26,134710000
2017-12-04,0.25,0.26,0.25,0.25,104650000
2017-12-05,0.25,0.25,0.25,0.25,174591008
2017-12-06,0.23,0.25,0.23,0.25,274526016
2017-12-07,0.22,0.23,0.22,0.23,275204992
2017-12-08,0.25,0.28,0.22,0.22,660172032
2017-12-09,0.24,0.26,0.24,0.25,205288992
2017-12-10,0.24,0.25,0.23,0.25,198174000
2017-12-11,0.25,0.25,0.24,0.24,176100992
2017-12-12,0.37,0.43,0.25,0.25,1555040000
2017-12-13,0.47,0.51,0.34,0.37,2738759936
2017-12-14,0.86,0.89,0.47,0.47,6358700032
2017-12-15,0.76,0.86,0.67,0.86,3194210048
2017-12-16,0.76,0.82,0.74,0.76,1334770048
2017-12-17,0.73,0.77,0.72,0.75,805200000
2017-12-18,0.78,0.79,0.69,0.73,1342720000
2017-12-19,0.79,0.86,0.76,0.78,1449670016
2017-12-20,0.78,0.79,0.73,0.79,1007420032
2017-12-21,1.19,1.24,0.78,0.78,3626109952
2017-12-22,1.14,1.38,0.74,1.17,4644700160
2017-12-23,1.17,1.21,1.08,1.17,1497590016
2017-12-24,1.04,1.18,0.91,1.18,754958976
2017-12-25,1.12,1.13,1.0,1.05,686014016
2017-12-26,1.19,1.19,1.09,1.12,938846976
2017-12-27,1.4,1.47,1.18,1.18,2854259968
2017-12-28,1.43,1.5,1.26,1.39,2843300096
2017-12-29,2.21,2.27,1.44,1.44,7545739776
2017-12-30,2.16,2.85,2.04,2.2,8108389888
2017-12-31,2.3,2.39,1.87,2.1,4642079744
2018-01-01,2.39,2.39,2.15,2.3,1894230016
2018-01-02,2.48,2.49,2.25,2.37,3171010048
2018-01-03,3.11,3.28,2.44,2.46,6635879936
2018-01-04,3.2,3.84,3.12,3.12,8103660032
2018-01-05,3.05,3.56,2.83,3.3,6288500224
2018-01-06,3.09,3.24,2.99,3.02,2777560064
2018-01-07,3.38,3.49,3.08,3.09,2395150080
2018-01-08,2.46,3.36,2.07,3.36,3315259904
2018-01-09,2.1,2.53,1.98,2.44,3694700032
2018-01-10,1.97,2.16,1.7,2.13,4833639936
2018-01-11,1.95,2.25,1.62,1.98,6296119808
2018-01-12,2.04,2.16,1.87,1.94,3330810112
2018-01-13,2.02,2.12,1.98,2.05,2130169984
2018-01-14,1.86,2.02,1.81,2.02,1978200064
2018-01-15,1.68,1.9,1.67,1.86,1838460032
2018-01-16,1.18,1.7,0.91,1.68,5687960064
2018-01-17,1.31,1.38,0.9,1.18,7251210240
2018-01-18,1.6,1.73,1.26,1.31,9110439936
2018-01-19,1.55,1.7,1.5,1.58,3697430016
2018-01-20,1.58,1.63,1.5,1.56,2346449920
2018-01-21,1.38,1.58,1.34,1.58,2840750080
2018-01-22,1.36,1.43,1.16,1.39,2642510080
2018-01-23,1.34,1.43,1.2,1.35,2977080064
2018-01-24,1.36,1.42,1.31,1.35,1853440000
2018-01-25,1.31,1.38,1.29,1.36,986067968
2018-01-26,1.22,1.33,1.13,1.31,2037570048
2018-01-27,1.22,1.24,1.19,1.22,689100992
2018-01-28,1.4,1.44,1.22,1.22,1327360000
2018-01-29,1.32,1.41,1.3,1.4,1073680000
2018-01-30,1.14,1.33,1.13,1.33,1134640000
2018-01-31,1.16,1.19,1.04,1.13,1264029952
2018-02-01,0.96,1.16,0.93,1.16,1410419968
2018-02-02,0.88,0.96,0.64,0.96,3529760000
2018-02-03,0.92,0.97,0.76,0.89,1988960000
2018-02-04,0.82,0.95,0.8,0.91,1190960000
2018-02-05,0.69,0.83,0.68,0.83,1286179968
2018-02-06,0.78,0.79,0.59,0.71,2361139968
2018-02-07,0.72,0.81,0.71,0.77,1133369984
2018-02-08,0.81,0.81,0.72,0.73,947315008
2018-02-09,0.95,0.95,0.77,0.8,1690339968
2018-02-10,1.07,1.3,0.95,0.95,4682010112
2018-02-11,1.0,1.08,0.93,1.07,2555310080
2018-02-12,1.08,1.11,1.01,1.01,1756290048
2018-02-13,1.03,1.08,1.01,1.08,921100032
2018-02-14,1.14,1.17,1.02,1.03,1457600000
2018-02-15,1.15,1.16,1.11,1.14,1188530048
2018-02-16,1.14,1.15,1.11,1.14,568339008
2018-02-17,1.2,1.22,1.13,1.14,1186729984
2018-02-18,1.12,1.21,1.09,1.2,1113650048
2018-02-19,1.14,1.17,1.12,1.12,556304000
2018-02-20,1.09,1.17,1.08,1.14,806673024
2018-02-21,1.02,1.1,1.0,1.08,871526016
2018-02-22,0.94,1.05,0.92,1.01,889707008
2018-02-23,1.0,1.03,0.9,0.93,896403968
2018-02-24,0.95,1.01,0.93,1.0,489920000
2018-02-25,0.94,0.97,0.92,0.95,360271008
2018-02-26,0.96,0.97,0.91,0.94,458612992
2018-02-27,0.95,0.97,0.94,0.96,312712992
2018-02-28,0.9,0.96,0.9,0.94,329529984
2018-03-01,0.93,0.95,0.89,0.9,475256992
2018-03-02,0.91,0.93,0.9,0.93,271036000
2018-03-03,0.91,0.93,0.9,0.91,280852992
2018-03-04,1.01,1.03,0.9,0.91,797225984
2018-03-05,0.96,1.08,0.96,1.01,1706819968
2018-03-06,0.92,0.99,0.92,0.95,875180032
2018-03-07,0.87,0.93,0.82,0.92,809598016
2018-03-08,0.83,0.89,0.83,0.87,499496000
2018-03-09,0.85,0.86,0.75,0.83,989203008
2018-03-10,0.8,0.86,0.79,0.85,402670016
2018-03-11,0.83,0.84,0.78,0.8,472972000
2018-03-12,0.8,0.84,0.79,0.83,355031008
2018-03-13,0.79,0.81,0.78,0.8,279679008
2018-03-14,0.7,0.8,0.68,0.79,479148992
2018-03-15,0.7,0.73,0.64,0.7,888345024
2018-03-16,0.69,0.71,0.67,0.7,502740000
2018-03-17,0.64,0.69,0.63,0.69,319824000
2018-03-18,0.66,0.68,0.55,0.63,923606016
2018-03-19,0.75,0.75,0.64,0.67,1096930048
2018-03-20,0.71,0.74,0.67,0.74,814275968
2018-03-21,0.69,0.72,0.68,0.71,527324000
2018-03-22,0.66,0.7,0.64,0.69,449041984
2018-03-23,0.64,0.66,0.63,0.66,387164000
2018-03-24,0.64,0.68,0.64,0.65,390740000
2018-03-25,0.64,0.66,0.63,0.64,229352000
2018-03-26,0.6,0.64,0.59,0.64,384504992
2018-03-27,0.58,0.6,0.57,0.6,351380992
2018-03-28,0.58,0.59,0.57,0.58,258298000
2018-03-29,0.51,0.58,0.51,0.58,420550016
2018-03-30,0.51,0.53,0.48,0.51,518219008
2018-03-31,0.51,0.53,0.51,0.51,293208000
2018-04-01,0.49,0.52,0.47,0.51,297868992
2018-04-02,0.5,0.51,0.48,0.49,262342000
2018-04-03,0.56,0.56,0.5,0.5,578238976
2018-04-04,0.5,0.56,0.5,0.55,415257984
2018-04-05,0.5,0.51,0.48,0.5,358755008
2018-04-06,0.48,0.5,0.47,0.49,218156000
2018-04-07,0.49,0.5,0.47,0.48,209076000
2018-04-08,0.5,0.5,0.49,0.49,137548000
2018-04-09,0.49,0.51,0.48,0.5,271775008
2018-04-10,0.49,0.49,0.48,0.49,154495008
2018-04-11,0.54,0.55,0.49,0.49,341707008
2018-04-12,0.63,0.64,0.51,0.54,1346739968
2018-04-13,0.64,0.69,0.61,0.63,1245170048
2018-04-14,0.63,0.66,0.62,0.64,626268032
2018-04-15,0.68,0.68,0.63,0.63,609636992
2018-04-16,0.66,0.69,0.64,0.68,531996000
2018-04-17,0.66,0.68,0.65,0.66,442352992
2018-04-18,0.71,0.72,0.66,0.66,624049024
2018-04-19,0.79,0.79,0.71,0.71,878328000
2018-04-20,0.92,0.94,0.79,0.79,2344069888
2018-04-21,0.87,0.93,0.82,0.93,1563970048
2018-04-22,0.87,0.91,0.85,0.87,946398976
2018-04-23,0.88,0.89,0.86,0.87,674545024
2018-04-24,0.93,0.97,0.87,0.88,1572930048
2018-04-25,0.8,0.93,0.78,0.93,1614050048
2018-04-26,0.85,0.85,0.77,0.8,1028590016
2018-04-27,0.81,0.86,0.81,0.85,673793024
2018-04-28,0.86,0.89,0.81,0.81,788718976
2018-04-29,0.87,0.9,0.83,0.86,896313984
2018-04-30,0.84,0.88,0.83,0.87,575363968
2018-05-01,0.84,0.84,0.8,0.84,630809024
2018-05-02,0.86,0.86,0.83,0.84,544425984
2018-05-03,0.88,0.89,0.85,0.86,725228992
2018-05-04,0.9,0.93,0.87,0.88,1007609984
2018-05-05,0.91,0.92,0.9,0.9,668800000
2018-05-06,0.87,0.92,0.86,0.9,640057024
2018-05-07,0.83,0.87,0.81,0.87,602534976
2018-05-08,0.81,0.85,0.8,0.83,465040992
2018-05-09,0.8,0.82,0.77,0.81,611574976
2018-05-10,0.76,0.81,0.76,0.8,399324000
2018-05-11,0.68,0.76,0.66,0.76,991409024
2018-05-12,0.7,0.71,0.64,0.69,596684992
2018-05-13,0.75,0.76,0.68,0.7,532488000
2018-05-14,0.74,0.76,0.71,0.74,613462016
2018-05-15,0.7,0.75,0.69,0.74,422980000
2018-05-16,0.71,0.71,0.67,0.7,429641984
2018-05-17,0.67,0.71,0.66,0.71,337999008
2018-05-18,0.68,0.69,0.65,0.67,344944000
2018-05-19,0.68,0.69,0.67,0.68,249039008
2018-05-20,0.7,0.7,0.67,0.68,275614016
2018-05-21,0.68,0.7,0.68,0.7,250480992
2018-05-22,0.65,0.68,0.64,0.68,234712992
2018-05-23,0.6,0.65,0.59,0.65,482480992
2018-05-24,0.63,0.64,0.59,0.6,440532992
2018-05-25,0.61,0.64,0.6,0.63,289816000
2018-05-26,0.61,0.63,0.6,0.61,213242000
2018-05-27,0.61,0.61,0.6,0.61,186963008
